system:index,B8A,B9,LAI,MSR2,OSAVI,RDVI,.geo
5_5064,2757.0,2424.0,1.027823567390442,0.17353947894744634,0.13384892335893026,24.542774542786812,
5_5091,2850.0,2413.0,1.0764936208724976,0.17188838033351125,0.13265521080983478,23.619913958557913,
5_5110,2733.0,2481.0,1.0338776111602783,0.23916043706937035,0.18023942462754206,26.84831422821223,
5_5137,2639.0,2500.0,1.0359350442886353,0.19445058397866877,0.14886669315540207,28.110676455928772,
5_5151,2492.0,2235.0,1.0444523096084595,0.12431761969858582,0.09756368498101649,22.158878758732644,
5_5152,2501.0,2276.0,1.022907018661499,0.17647164468919743,0.13596822198643227,22.319636305192294,
5_5160,2582.0,2271.0,1.0255972146987915,0.14193725893090456,0.11070169392678206,22.58777605517294,
5_5167,2405.0,2172.0,1.1176345348358154,0.13574930493290507,0.10610564829636403,21.404785188155675,
5_5171,2775.0,2567.0,1.0096172094345093,0.1781645060946127,0.13719188572729843,24.98112495012154,
5_5182,2837.0,2407.0,1.0127166509628296,0.3744980248869731,0.26913340999996643,26.813266879726452,
5_5184,2839.0,2561.0,1.124989628791809,0.1474304901549023,0.11476762306352552,21.6541335762502,
5_5187,2179.0,2085.0,1.0128796100616455,0.12928285941559498,0.10127138487867207,25.514252662948746,
5_5191,2630.0,2391.0,1.0337462425231934,0.15635488917665102,0.12132401200875673,25.905510428715374,
5_5197,2565.0,2215.0,1.1066802740097046,0.18506883687779985,0.14216246627081533,21.785446993637496,
5_5198,2506.0,2223.0,1.0499238967895508,0.15630005319318255,0.12128926671818883,19.92508420193765,
5_5217,2320.0,1936.0,1.1041369438171387,0.09938010320950334,0.07867846909235676,24.00010199896726,
5_5227,2002.0,1856.0,1.102861762046814,0.146178166717961,0.1138224345490338,24.218052491812045,
5_5228,2605.0,2383.0,1.0449278354644775,0.11312970477755176,0.0891340374894605,24.508275002440783,
5_5234,2674.0,2439.0,1.0243840217590332,0.2439838840439493,0.1835651947231799,24.72245942457991,
5_5264,2349.0,2161.0,1.042812466621399,0.1281671797189132,0.10044704819751325,21.227261685282496,
5_5265,2427.0,2162.0,1.0456585884094238,0.1676598831039212,0.1295798783637157,22.164568562178495,
5_5266,2875.0,2289.0,1.0118623971939087,0.12329114321553697,0.09679830996925805,21.191550237549592,
5_5284,2701.0,2462.0,1.0678131580352783,0.18361572425236186,0.14111530704031128,25.81132442096686,
5_5292,2622.0,2379.0,1.0997298955917358,0.14794425804790756,0.11514492036798891,20.73732214342935,
5_5337,2672.0,2423.0,1.1234610080718994,0.2271680192048816,0.17192727160736213,25.47773293673425,
5_5339,2566.0,1871.0,1.0514099597930908,0.3780901748495217,0.27136061987761684,27.606682052896282,
5_5365,2697.0,2424.0,1.0872777700424194,0.1511577324347177,0.11750908786297877,24.883813129103743,
5_5379,2356.0,2165.0,1.0432679653167725,0.17632129600635993,0.13585616627273922,22.58250153849569,
5_5381,2570.0,2290.0,1.0545611381530762,0.15053799899236683,0.11705302703940447,23.12579890743877,
5_5404,2539.0,2357.0,1.127492070198059,0.1756726584377717,0.1353907110853448,22.869039158205084,
5_5405,2354.0,2065.0,1.0155036449432373,0.16906785732113172,0.13060132649908363,22.39113056116578,
5_5414,2115.0,1919.0,1.0638288259506226,0.16384590683151773,0.12678966873694217,24.766001894626974,
5_5415,1979.0,1904.0,1.0780600309371948,0.17785076099868205,0.13694253212798585,25.022600437068053,
5_5451,2648.0,2253.0,1.0503231287002563,0.17658857186874816,0.13605319032587748,23.919740954568937,
5_5462,2428.0,2228.0,1.0466206073760986,0.18816404496956338,0.14437830607651306,22.699007565536157,
5_5481,2696.0,2363.0,1.0621669292449951,0.18053696605881814,0.1388987989059341,26.436590937724866,
5_5483,2764.0,2518.0,1.0422000885009766,0.15152734700123804,0.11778172428611085,25.2033001239047,
5_5492,2502.0,2241.0,1.081128716468811,0.1891278092670911,0.14507243199729747,21.071237320471937,
5_5500,2618.0,2333.0,1.1205365657806396,0.20222161689087048,0.1544000807594378,23.740059302238805,
5_5502,2415.0,2184.0,1.0615490674972534,0.14520925369580068,0.11312250202525521,20.695430308514876,
